Instantaneous BPM,raw heart rhythm
91,170
92,195
92,167
93,187
92,391
92,387
90,383
89,381
89,378
91,377
92,376
92,375
93,375
97,376
97,377
97,378
91,380
85,380
80,381
78,381
75,380
76,378
75,364
80,360
86,360
94,356
97,349
98,338
99,331
99,324
97,328
103,338
106,346
106,346
105,338
96,334
87,330
84,325
82,322
83,323
84,323
89,333
94,352
94,357
92,353
93,344
96,337
94,332
91,331
91,320
89,301
87,309
88,338
91,348
93,340
90,331
93,329
94,326
98,318
97,309
95,313
94,318
93,323
91,327
89,325
87,318
85,312
87,317
89,325
90,322
92,316
87,320
145,333
47,343
77,337
144,332
72,334
134,341
196,347
72,340
70,337
195,334
78,333
49,324
78,314
173,312
129,314
141,308
96,298
97,301
98,310
191,304
118,300
66,313
121,347
178,385
198,416
112,402
110,315
111,164
111,25
110,0
108,34
88,117
86,207
85,273
83,323
84,348
82,360
83,366
84,366
87,361
91,353
89,355
90,357
89,352
88,350
88,351
88,347
85,355
84,364
80,367
84,373
73,376
52,377
96,373
96,365
100,374
100,392
101,402
109,403
113,401
109,394
112,391
110,408
111,417
109,417
104,414
94,415
96,413
94,408
87,406
85,395
84,377
87,369
86,372
86,364
86,357
87,359
92,354
88,337
89,319
87,324
89,336
87,336
86,336
84,339
82,339
85,334
87,329
94,328
95,323
,323
,328
,336
,340
,342
,343
,350
,349
,342
,341
,339
,336
,333
,316
,309
,323
,337
,344
,341
,337
,328
,327
,337
,339
,332
,331
,327
,321
,320
,317
,330
,335
,333
,325
,328
,340
,347
,349
,351
,357
,359
,352
,342
,336
,337
,334
,329
,325
,316
,310
,313
,323
,322
,319
,320
,328
,353
,379
,404
,395
,315
,168
,45
,28
,88
,170
,241
,291
,333
,362
,371
,368
,368
,369
,368
,368
,366
,362
,359
,362
,362
,356
,347
,350
,373
,388
,390
,391
,387
,385
,388
,392
,391
,392
,400
,407
,407
,402
,411
,416
,415
,415
,407
,397
,386
,377
,373
,368
,363
,344
,334
,343
,352
,342
,331
,332
,337
,337
,333
,333
,324
,320
,335
,345
,338
,332
,331
,334
,339
,344
,344
,339
,336
,338
,338
,326
,319
,326
,328
,322
,325
,331
,335
,337
,335
,333
,330
,330
,337
,339
,328
,320
,326
,337
,341
,342
,339
,337
,340
,347
,352
,339
,344
,369
,379
,367
,345
,332
,329
,329
,320
,309
,305
,319
,327
,328
,333
,328
,330
,358
,395
,423
,404
,315
,168
,48
,31
,94
,183
,258
,314
,361
,381
,373
,360
,363
,373
,373
,364
,346
,345
,359
,379
,386
,388
,383
,380
,380
,378
,375
,376
,380
,383
,386
,392
,397
,399
,409
,424
,436
,433
,420
,414
,415
,411
,402
,392
,390
,383
,373
,371
,373
,368
,360
,353
,350
,345
,340
,331
,330
,338
,345
,346
,337
,324
,326
,342
,352
,348
,342
,345
,343
,342
,348
,351
,347
,343
,339
,333
,329
,327
,330
,333
,334
,327
,319
,321
,337
,348
,348
,340
,336
,338
,335
,329
,335
,336
,332
,340
,362
,378
,374
,362
,360
,364
,359
,346
,330
,319
,316
,313
,323
,344
,348
,338
,334
,333
,329
,337
,365
,397
,419
,374
,251
,100
,31
,67
,145
,222
,281
,343
,379
,376
,366
,358
,354
,365
,369
,371
,376
,380
,379
,378
,376
,368
,363
,359
,368
,378
,382
,389
,399
,405
,407
,407
,403
,401
,396
,403
,416
,413
,410
,425
,432
,423
,410
,400
,389
,374
,362
,363
,368
,364
,350
,326
,312
,324
,337
,343
,337
,335
,336
,334
,320
,329
,346
,354
,348
,339
,332
,324
,325
,339
,345
,337
,320
,308
,321
,328
,329
,331
,333
,334
,335
,334
,330
,324
,318
,321
,322
,311
,304
,317
,328
,327
,326
,325
,324
,326
,336
,339
,338
,341
,345
,350
,356
,358
,354
,346
,332
,316
,310
,310
,312
,324
,333
,335
,327
,321
,319
,319
,330
,355
,389
,399
,339
,222
,82
,23
,43
,117
,212
,277
,325
,352
,359
,362
,361
,362
,363
,358
,358
,363
,371
,369
,367
,367
,369
,369
,363
,358
,361
,371
,384
,392
,388
,389
,397
,403
,402
,411
,421
,415
,407
,410
,416
,415
,403
,390
,389
,396
,390
,375
,369
,361
,351
,342
,337
,333
,324
,322
,338
,342
,333
,325
,323
,326
,324
,314
,318
,339
,342
,331
,335
,344
,342
,333
,328
,323
,325
,331
,328
,324
,329
,333
,327
,323
,324
,321
,317
,311
,306
,319
,328
,330
,330
,327
,325
,321
,330
,345
,348
,347
,350
,353
,345
,335
,328
,318
,308
,303
,308
,323
,323
,324
,323
,314
,308
,316
,345
,379
,407
,396
,310
,168
,51
,39
,99
,175
,235
,286
,344
,377
,376
,362
,354
,347
,345
,348
,354
,342
,330
,347
,374
,382
,376
,370
,368
,365
,367
,365
,367
,372
,383
,396
,400
,395
,393
,405
,410
,416
,421
,414
,408
,403
,400
,394
,389
,389
,386
,371
,364
,365
,360
,345
,334
,335
,332
,329
,333
,340
,342
,339
,329
,327
,334
,336
,328
,325
,322
,329
,341
,357
,358
,347
,338
,341
,340
,334
,328
,327
,330
,322
,319
,325
,328
,324
,327
,336
,342
,334
,334
,338
,336
,329
,322
,315
,318
,329
,338
,339
,344
,350
,356
,357
,360
,364
,363
,352
,337
,334
,335
,334
,329
,319
,316
,323
,321
,320
,326
,332
,348
,375
,409
,426
,385
,274
,125
,32
,45
,110
,203
,273
,319
,356
,386
,389
,376
,364
,356
,360
,368
,357
,346
,363
,386
,391
,384
,375
,371
,372
,372
,369
,371
,385
,395
,395
,397
,413
,419
,418
,419
,418
,413
,414
,412
,406
,398
,399
,402
,398
,394
,390
,383
,368
,357
,351
,346
,341
,330
,322
,325
,333
,342
,344
,337
,334
,339
,344
,342
,338
,337
,339
,338
,340
,344
,349
,346
,338
,336
,338
,333
,329
,330
,328
,324
,320
13.00
